index,title,score,gram,cost,category
90,牧草飼育のオーストラリア産牛もも肉使用 食べやす…,5,38g,298,3
91,スティックタイプ ソフトいかフライ,評価なし,140g,378,4
92,さきいか,5,73g,298,5
93,肉厚のいかを使用 皮付きさきいか,評価なし,100g,378,6
94,肉厚のいかを使用 さきいか,評価なし,104g,378,7
95,いいわけおやつ れんこんチップ 梅味,4.5,15g,128,8
96,いいわけおやつ ひとくちマンゴー,評価なし,22g,98,1
97,糖質20%オフ 素煎り3種のナッツ+チーズ,5,168g(24g×7袋),598,2
98,糖質30%オフ 素煎り4種のナッツ,4.5,168g(24g×7袋),598,3
99,素材の甘みをいかした しっとり焼き芋,5,100g,178,4
100,チェダーチーズ使用 チーズサンド,4.3,194g,378,5
101,しっかりとした食感 ドライソーセージ,4,171g,378,6
102,香ばしくスモーク ドライソーセージ 個包装入り,3.4,108g,298,7
103,ミニマヨネーズいか マヨネーズ味,3,37g,90,8
104,ひとくち ホワイト&ミルクチョコレート,4,56g,90,1
105,塩とバジルで味付けした トルティアチップス バジル…,4.6,65g,78,2
106,ソフトいかフライ,評価なし,25g,90,3
107,ピリ辛焼きかま,5,26g,90,4
108,まろやかチョコレート,5,60g,198,5
